Time,Flow
4.72,0.1609375
4.73,-0.196875
4.74,0.134375
4.75,1.034375
4.76,0.496875
4.77,0.7703125
4.78,0.240625
4.79,0.0890625
4.8,-0.8046875
4.81,-0.46875
4.82,-0.390625
4.83,-0.0328125
4.84,0.3125
4.85,0.0515625
4.86,0.7875
4.87,0.6265625
4.88,0.275
4.89,-0.0859375
4.9,-0.675
4.91,-0.409375
4.92,-0.278125
4.93,-0.053125
4.94,0.678125
4.95,0.6625
4.96,0.475
4.97,0.465625
4.98,0.6609375
4.99,-0.0265625
5.0,-0.128125
5.01,-0.7265625
5.02,-0.2828125
5.03,0.0875
5.04,0.24375
5.05,0.69375
5.06,0.9828125
5.07,0.5046875
5.08,0.7140625
5.09,1.14375
5.1,-0.771875
5.11,-0.84375
5.12,-0.1765625
5.13,-0.3046875
5.14,0.0453125
5.15,0.209375
5.16,0.8421875
5.17,0.8203125
5.18,0.2875
5.19,-0.253125
5.2,-0.4375
5.21,-0.5171875
5.22,-0.8078125
5.23,-0.51875
5.24,0.003125
5.25,0.509375
5.26,0.5328125
5.27,0.775
5.28,0.7203125
5.29,0.5171875
5.3,-0.5203125
5.31,-0.6734375
5.32,0.0484375
5.33,-0.215625
5.34,-0.2421875
5.35,0.2890625
5.36,0.2390625
5.37,0.84375
5.38,0.9046875
5.39,0.2125
5.4,-0.5484375
5.41,-0.6125
5.42,-0.615625
5.43,-0.5015625
5.44,0.2359375
5.45,0.803125
5.46,0.75
5.47,0.1796875
5.48,-0.0359375
5.49,0.24375
5.5,-0.3078125
5.51,-0.975
5.52,-0.8859375
5.53,-0.4125
5.54,-0.4171875
5.55,0.278125
5.56,0.84375
5.57,1.292188
5.58,-0.13125
5.59,0.396875
5.6,-0.5953125
5.61,-0.9921875
5.62,-0.6234375
5.63,-0.7046875
5.64,-0.1484375
5.65,0.2015625
5.66,0.6984375
5.67,0.7828125
5.68,0.790625
5.69,-0.0640625
5.7,-0.0078125
5.71,-0.5625
5.72,-0.85625
5.73,-0.6265625
5.74,-0.0671875
5.75,0.5234375
5.76,-0.15625
5.77,0.94375
5.78,0.9234375
5.79,0.3015625
5.8,-0.0265625
5.81,-0.31875
5.82,-0.578125
5.83,-0.4734375
5.84,-0.51875
5.85,-0.2359375
5.86,0.21875
5.87,0.478125
5.88,0.6515625
5.89,0.5390625
5.9,-0.421875
5.91,-0.7625
5.92,-0.76875
5.93,-0.65625
5.94,0.0484375
5.95,0.40625
5.96,0.4640625
5.97,0.6859375
5.98,0.3546875
5.99,0.0984375
6.0,-0.1375
6.01,-0.3921875
6.02,-0.5953125
6.03,-0.5953125
6.04,-0.6546875
6.05,-0.1
6.06,0.7515625
6.07,0.5953125
6.08,0.3828125
6.09,-0.0203125
6.1,0.2171875
6.11,-0.471875
6.12,-0.515625
6.13,-0.9578125
6.14,-0.3171875
6.15,0.2125
6.16,0.0
6.17,0.378125
6.18,0.2984375
6.19,1.15
6.2,0.0265625
6.21,-0.175
6.22,-0.73125
6.23,-0.5921875
6.24,-0.4890625
6.25,0.003125
6.26,0.3953125
6.27,0.321875
6.28,0.8015625
6.29,0.8078125
6.3,0.271875
6.31,-0.36875
6.32,-0.6359375
6.33,-0.796875
6.34,-0.69375
6.35,-0.225
6.36,0.225
6.37,0.4
6.38,0.409375
6.39,0.840625
6.4,0.50625
6.41,-0.690625
6.42,-0.3
6.43,-0.4328125
6.44,-0.553125
6.45,0.165625
6.46,0.321875
6.47,0.7765625
6.48,0.7234375
6.49,-0.3671875
6.5,0.0671875
6.51,-0.2125
6.52,-0.7296875
6.53,-0.7015625
6.54,-0.11875
6.55,-0.975
6.56,0.0890625
6.57,0.3828125
6.58,0.03125
6.59,-0.3484375
6.6,-1.620313
6.61,-3.248438
6.62,-3.595313
6.63,-4.909375
6.64,-5.395313
6.65,-2.760938
6.66,-0.8703125
6.67,-0.4890625
6.68,0.93125
6.69,2.470313
6.7,0.765625
6.71,-0.0125
6.72,-0.9203125
6.73,-1.135938
6.74,-1.082813
6.75,-1.390625
6.76,0.715625
6.77,1.389063
6.78,0.403125
6.79,0.3921875
6.8,-0.5703125
6.81,-0.7828125
6.82,-1.598438
6.83,-1.395313
6.84,-0.11875
6.85,0.7390625
6.86,2.896875
6.87,4.382813
6.88,5.289063
6.89,7.220313
6.9,6.889063
6.91,7.551563
6.92,6.85625
6.93,7.296875
6.94,8.246875
6.95,8.910938
6.96,10.37188
6.97,10.88906
6.98,12.90313
6.99,12.15938
7.0,12.65313
7.01,13.16094
7.02,13.30469
7.03,14.225
7.04,14.11563
7.05,15.57031
7.06,17.18437
7.07,16.38281
7.08,16.55313
7.09,17.33125
7.1,15.90156
7.11,14.90938
7.12,14.90469
7.13,14.07656
7.14,13.41406
7.15,12.85469
7.16,13.51875
7.17,13.94063
7.18,13.90313
7.19,13.43281
7.2,13.40625
7.21,12.60156
7.22,12.60625
7.23,11.86719
7.24,11.07188
7.25,11.77344
7.26,11.62188
7.27,10.8375
7.28,11.05
7.29,10.98125
7.3,11.68906
7.31,11.05781
7.32,11.125
7.33,11.09688
7.34,9.639063
7.35,11.27344
7.36,7.567188
7.37,9.101563
7.38,9.848438
7.39,10.3
7.4,9.617188
7.41,9.464063
7.42,8.990625
7.43,9.139062
7.44,8.415625
7.45,7.520313
7.46,8.473438
7.47,9.517188
7.48,8.84375
7.49,8.884375
7.5,8.951562
7.51,8.41875
7.52,9.073438
7.53,7.973438
7.54,7.195313
7.55,7.770313
7.56,7.860938
7.57,7.595313
7.58,8.032813
7.59,7.564063
7.6,8.395313
7.61,7.998438
7.62,7.923438
7.63,7.090625
7.64,6.495313
7.65,6.182813
7.66,6.209375
7.67,6.732813
